City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Lerwick,GB,2022-11-30 00:23:07,60.1545,-1.1494,48.2,84,45,10.29,scattered clouds
170,Plymouth,US,2022-11-30 00:24:17,41.8334,-70.8328,41.95,79,100,0.0,overcast clouds
171,Yenagoa,NG,2022-11-30 00:26:25,4.9247,6.2642,76.37,88,67,3.31,broken clouds
172,Danielskuil,ZA,2022-11-30 00:26:25,-28.1887,23.5395,68.13,54,43,12.01,scattered clouds
173,Mangrol,IN,2022-11-30 00:26:26,21.1167,70.1167,70.84,44,28,10.0,scattered clouds
174,Arraial Do Cabo,BR,2022-11-30 00:26:27,-22.9661,-42.0278,73.36,88,75,16.11,broken clouds
175,Salalah,OM,2022-11-30 00:26:27,17.0151,54.0924,75.29,78,40,3.44,scattered clouds
176,Darab,IR,2022-11-30 00:26:28,28.7519,54.5444,60.1,27,99,1.97,overcast clouds
177,Tacuarembo,UY,2022-11-30 00:26:28,-31.7333,-55.9833,76.23,46,74,9.24,broken clouds
178,Vestmannaeyjar,IS,2022-11-30 00:26:28,63.4427,-20.2734,46.58,92,100,36.04,overcast clouds
179,Shelburne,CA,2022-11-30 00:21:51,44.0787,-80.2041,37.76,88,100,14.38,overcast clouds
180,Meulaboh,ID,2022-11-30 00:26:29,4.1363,96.1285,75.79,88,98,4.36,overcast clouds
181,Cravo Norte,CO,2022-11-30 00:26:29,6.3017,-70.2041,72.28,95,99,3.67,overcast clouds
182,Siavonga,ZM,2022-11-30 00:26:31,-16.5382,28.7088,72.09,79,1,5.86,light rain
183,Bengkulu,ID,2022-11-30 00:26:31,-3.8004,102.2655,75.99,89,100,4.38,overcast clouds
184,Saint-Pierre,RE,2022-11-30 00:27:31,-21.3393,55.4781,75.9,73,0,4.61,clear sky
185,Rio Gallegos,AR,2022-11-30 00:25:35,-51.6226,-69.2181,50.05,40,40,18.41,scattered clouds
186,Caxias,PT,2022-11-30 00:27:32,38.7031,-9.2767,54.91,74,20,4.61,few clouds
187,Carepa,CO,2022-11-30 00:27:32,7.7585,-76.6525,74.98,94,75,0.0,light intensity drizzle
188,Tucuman,AR,2022-11-30 00:24:07,-26.8241,-65.2226,78.8,57,40,9.22,light rain
189,Constitucion,CL,2022-11-30 00:27:33,-35.3333,-72.4167,56.39,88,32,13.15,scattered clouds
190,Alakurtti,RU,2022-11-30 00:27:33,66.9672,30.3491,24.91,97,97,2.66,overcast clouds
191,Rawson,AR,2022-11-30 00:27:34,-43.3002,-65.1023,54.66,67,34,18.43,scattered clouds
192,Richards Bay,ZA,2022-11-30 00:27:34,-28.783,32.0377,63.14,84,1,6.44,clear sky
193,Acajutla,SV,2022-11-30 00:27:35,13.5928,-89.8275,78.8,82,36,3.31,scattered clouds
194,America Dourada,BR,2022-11-30 00:27:35,-11.4553,-41.4361,68.29,95,100,10.83,overcast clouds
195,Songadh,IN,2022-11-30 00:26:57,21.1667,73.5667,67.15,42,59,6.35,broken clouds
196,Kargat,RU,2022-11-30 00:27:36,55.1956,80.2811,-6.29,88,100,3.02,overcast clouds
197,Pushkinskiye Gory,RU,2022-11-30 00:27:36,57.0209,28.9103,25.12,96,100,4.07,light snow
198,Tukrah,LY,2022-11-30 00:27:37,32.5341,20.5791,62.69,75,99,11.45,light rain
199,Beberibe,BR,2022-11-30 00:27:37,-4.1797,-38.1306,77.94,81,38,8.34,scattered clouds
200,Los Llanos De Aridane,ES,2022-11-30 00:27:38,28.6585,-17.9182,65.95,78,100,12.66,overcast clouds
201,Conceicao Do Araguaia,BR,2022-11-30 00:27:38,-8.2578,-49.2647,70.45,99,100,7.52,overcast clouds
202,Kibala,TD,2022-11-30 00:27:39,9.1104,18.3463,73.6,26,18,6.35,few clouds
203,Borisoglebskiy,RU,2022-11-30 00:27:39,57.2586,39.1508,4.55,98,86,3.69,overcast clouds
204,Asyut,EG,2022-11-30 00:27:39,27.181,31.1837,60.98,46,0,5.5,clear sky
