City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Noumea,NC,2022-11-25 21:28:03,-22.2763,166.4572,78.01,99,68,9.06
112,Lasa,IT,2022-11-25 21:28:08,46.6166,10.7002,41.88,83,100,5.77
113,Palghar,IN,2022-11-25 21:28:08,19.6833,72.75,75.67,60,46,4.12
114,Pailitas,CO,2022-11-25 21:28:09,8.9565,-73.6255,82.36,86,52,2.89
115,Pevek,RU,2022-11-25 21:28:09,69.7008,170.3133,-3.55,92,100,3.83
116,Tasiilaq,GL,2022-11-25 21:28:09,65.6145,-37.6368,37.56,71,100,35.68
117,Doha,QA,2022-11-25 21:23:34,25.2867,51.5333,76.89,69,0,6.91
118,Dafeng,CN,2022-11-25 21:28:10,23.4517,108.5881,67.59,99,100,2.08
119,Gimli,CA,2022-11-25 21:28:10,50.6336,-96.9907,39.22,70,28,13.8
120,Vitre,FR,2022-11-25 21:28:11,48.1178,-1.2058,44.42,92,77,5.01
121,Saint-Philippe,RE,2022-11-25 21:28:11,-21.3585,55.7679,71.19,80,55,9.78
122,Port Alfred,ZA,2022-11-25 21:28:12,-33.5906,26.891,60.19,83,32,5.79
123,Atasu,KZ,2022-11-25 21:28:12,48.6814,71.6433,5.29,92,23,11.68
124,Mehriz,IR,2022-11-25 21:28:13,31.5917,54.4318,50.5,35,0,4.38
125,Airai,TL,2022-11-25 21:28:13,-8.9266,125.4092,61.07,88,100,1.05
126,Comodoro Rivadavia,AR,2022-11-25 21:28:13,-45.8667,-67.5,78.66,25,100,37.98
127,New Norfolk,AU,2022-11-25 21:28:14,-42.7826,147.0587,54.91,70,100,2.71
128,Mar Del Plata,AR,2022-11-25 21:28:14,-38.0023,-57.5575,64.83,82,20,14.97
129,Uberaba,BR,2022-11-25 21:26:26,-19.7483,-47.9319,77.58,65,40,3.44
130,Longyearbyen,SJ,2022-11-25 21:28:15,78.2186,15.6401,19.24,93,40,10.36
131,Arraial Do Cabo,BR,2022-11-25 21:28:15,-22.9661,-42.0278,73.36,88,40,20.71
132,Konakovo,RU,2022-11-25 21:28:16,56.7,36.7667,9.09,97,94,5.08
133,Mikhaylovka,RU,2022-11-25 21:29:16,50.06,43.2379,36.79,88,100,13.11
134,Tamiahua,MX,2022-11-25 21:29:17,21.2667,-97.45,77.58,83,72,13.96
135,Tecoanapa,MX,2022-11-25 21:29:17,16.5167,-98.75,84.38,68,52,8.41
136,Vila Franca Do Campo,PT,2022-11-25 21:29:17,37.7167,-25.4333,69.19,91,100,17.52
137,Qarqin,AF,2022-11-25 21:29:18,37.4185,66.0436,58.75,33,100,5.77
138,Hami,CN,2022-11-25 21:29:18,42.8,93.45,33.13,41,100,4.0
139,Nikolskoye,RU,2022-11-25 21:29:19,59.7035,30.7861,17.49,90,42,6.46
140,Necochea,AR,2022-11-25 21:29:19,-38.5473,-58.7368,73.31,38,42,18.25
141,Kyra,RU,2022-11-25 21:29:19,49.5776,111.9753,-11.13,94,42,3.02
142,Macamic,CA,2022-11-25 21:29:20,48.7502,-78.9996,28.58,88,95,8.63
143,Anadyr,RU,2022-11-25 21:29:20,64.75,177.4833,9.1,78,0,6.71
144,Qaqortoq,GL,2022-11-25 21:29:20,60.7167,-46.0333,31.87,63,95,11.83
145,Jaciara,BR,2022-11-25 21:29:21,-15.9653,-54.9683,90.52,38,52,5.79
146,Sheridan,US,2022-11-25 21:29:21,44.8333,-106.9173,53.98,46,0,1.99
147,Quatre Cocos,MU,2022-11-25 21:29:22,-20.2078,57.7625,76.08,74,74,13.62
148,Basco,PH,2022-11-25 21:29:22,20.4487,121.9702,82.81,72,40,8.52
149,Coquimbo,CL,2022-11-25 21:29:23,-29.9533,-71.3436,65.93,72,0,13.8
150,Zaton,RU,2022-11-25 21:29:23,53.2936,83.8072,-8.01,70,40,17.9
151,Vao,NC,2022-11-25 21:29:23,-22.6667,167.4833,71.96,67,62,11.56
152,Luderitz,NA,2022-11-25 21:29:24,-26.6481,15.1594,60.82,63,1,27.78
153,Lata,PT,2022-11-25 21:29:24,40.1629,-8.3327,46.92,81,97,3.38
154,Mount Isa,AU,2022-11-25 21:29:25,-20.7333,139.5,78.57,47,7,0.0
155,Sokolo,ML,2022-11-25 21:29:25,14.7328,-6.1219,82.17,14,87,9.42
156,Weihe,CN,2022-11-25 21:29:26,32.9952,105.3247,45.72,88,65,1.72
157,Georgetown,MY,2022-11-25 21:29:26,5.4112,100.3354,82.24,88,20,2.3
158,Provideniya,RU,2022-11-25 21:29:26,64.3833,-173.3,11.1,84,38,6.76
159,Carauari,BR,2022-11-25 21:29:27,-4.8828,-66.8958,83.95,74,51,1.95
160,Mao,ES,2022-11-25 21:29:27,39.8885,4.2658,57.76,72,40,12.66
161,Butaritari,KI,2022-11-25 21:29:28,3.0707,172.7902,80.89,75,98,10.63
162,Shubarshi,KZ,2022-11-25 21:29:28,48.5872,57.1869,26.2,77,20,13.13
163,Moranbah,AU,2022-11-25 21:29:28,-22.0016,148.0466,73.94,61,70,4.09
164,Litovko,RU,2022-11-25 21:29:29,49.2361,135.1742,11.79,98,98,2.06
165,Guhagar,IN,2022-11-25 21:29:29,17.4842,73.1929,77.31,65,19,2.93
166,Cherskiy,RU,2022-11-25 21:29:29,68.75,161.3,-13.74,99,100,1.95
167,Imeni Zhelyabova,RU,2022-11-25 21:29:30,58.9544,36.5956,11.53,98,66,4.18
168,Menongue,AO,2022-11-25 21:29:30,-14.6585,17.691,65.34,88,100,5.7
169,Kavieng,PG,2022-11-25 21:29:31,-2.5744,150.7967,82.0,69,71,4.27
170,Mendi,PG,2022-11-25 21:29:31,-6.1761,143.6513,56.25,96,93,2.01
171,San Patricio,US,2022-11-25 21:29:31,28.017,-97.5169,62.69,95,100,10.11
172,Guozhen,CN,2022-11-25 21:29:32,34.3659,107.359,47.43,49,0,1.21
173,Bocana De Paiwas,NI,2022-11-25 21:29:32,12.7857,-85.1227,79.83,83,65,7.11
174,Aksu,CN,2022-11-25 21:29:32,41.1231,80.2644,35.15,39,2,3.11
175,Springdale,US,2022-11-25 21:28:57,36.1867,-94.1288,59.85,62,0,9.22
176,Qasigiannguit,GL,2022-11-25 21:29:33,68.8193,-51.1922,12.45,87,100,3.85
177,Van Buren,US,2022-11-25 21:24:39,35.4368,-94.3483,61.09,77,100,3.0
178,Riyadh,SA,2022-11-25 21:27:05,24.6877,46.7219,68.14,34,0,9.64
179,Hithadhoo,MV,2022-11-25 21:29:34,-0.6,73.0833,81.07,77,100,12.82
180,Urubicha,BO,2022-11-25 21:29:34,-15.3833,-62.95,99.27,14,9,5.77
181,Saint-Augustin,CA,2022-11-25 21:30:34,51.226,-58.6502,13.57,96,52,1.14
182,Mount Gambier,AU,2022-11-25 21:30:05,-37.8333,140.7667,68.59,48,100,15.88
183,Gao,ML,2022-11-25 21:30:35,16.6362,1.637,69.3,11,2,11.95
184,Whitehorse,CA,2022-11-25 21:30:36,60.7161,-135.0538,18.81,92,75,18.41
185,Isangel,VU,2022-11-25 21:30:36,-19.55,169.2667,78.28,85,100,7.92
186,Kapaa,US,2022-11-25 21:30:36,22.0752,-159.319,78.78,60,75,20.71
187,Gizo,SB,2022-11-25 21:30:37,-8.103,156.8419,83.62,72,86,7.05
188,Yellowknife,CA,2022-11-25 21:30:37,62.456,-114.3525,19.92,86,100,11.5
189,Bahar,IR,2022-11-25 21:30:37,34.9072,48.4414,44.76,81,75,2.3
190,Dolinsk,RU,2022-11-25 21:30:38,47.35,142.8,43.16,92,100,20.92
191,Erwitte,DE,2022-11-25 21:30:38,51.6167,8.35,48.13,92,100,9.22
192,Sitangkai,PH,2022-11-25 21:30:39,4.6628,119.3928,81.81,77,97,5.35
193,Praia,CV,2022-11-25 21:30:39,14.9215,-23.5087,73.94,73,0,18.41
194,Voh,NC,2022-11-25 21:30:39,-20.9667,164.7,76.53,67,100,5.75
195,Port Hardy,CA,2022-11-25 21:30:40,50.6996,-127.4199,46.58,81,75,6.91
196,Tomsani,RO,2022-11-25 21:30:40,44.95,26.2833,37.69,66,16,4.18
197,Pyaozerskiy,RU,2022-11-25 21:30:41,65.8333,31.1667,19.99,86,100,7.18
198,Sawakin,SD,2022-11-25 21:30:41,19.1059,37.3321,80.2,75,5,9.31
199,Shimoda,JP,2022-11-25 21:30:03,34.6667,138.95,56.1,81,100,9.57
200,Kawalu,ID,2022-11-25 21:30:42,-7.3817,108.2082,71.58,97,100,1.25
201,Saint-Gaudens,FR,2022-11-25 21:30:42,43.0833,0.6667,41.02,90,32,5.28
202,Samarai,PG,2022-11-25 21:30:42,-10.6167,150.6667,82.94,76,87,4.07
203,Nova Praha,UA,2022-11-25 21:30:43,48.5682,32.9027,42.31,95,100,5.68
204,Portalegre,PT,2022-11-25 21:30:43,39.2938,-7.4312,46.33,70,52,4.18
205,Berdigestyakh,RU,2022-11-25 21:30:44,62.0989,126.6992,-44.07,100,100,0.65
206,Ancud,CL,2022-11-25 21:30:44,-41.8697,-73.8203,60.66,74,0,6.33
207,Boddam,GB,2022-11-25 21:30:44,57.4667,-1.7833,45.43,79,7,15.21
208,Olafsvik,IS,2022-11-25 21:30:45,64.8945,-23.7142,41.07,84,36,19.66
209,Aginskoye,RU,2022-11-25 21:30:45,51.1,114.53,-6.2,90,2,4.52
210,Sabzevar,IR,2022-11-25 21:30:46,36.2126,57.6819,42.08,56,0,9.22
211,Norman Wells,CA,2022-11-25 21:30:46,65.282,-126.8329,12.24,92,100,0.0
212,Shingu,JP,2022-11-25 21:30:47,33.7333,135.9833,58.82,86,100,3.8
213,Adjumani,UG,2022-11-25 21:30:47,3.3779,31.7909,72.7,73,89,3.62
214,Eyl,SO,2022-11-25 21:30:48,7.9803,49.8164,76.95,76,13,8.9
215,Baghdad,IQ,2022-11-25 21:30:48,33.3406,44.4009,57.11,100,0,5.75
216,Alice Springs,AU,2022-11-25 21:30:49,-23.7,133.8833,69.35,94,75,0.0
