City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Lethem,GY,76.48,broken clouds,3.3803,-59.7968,Hotel Amazonas
389,Palmas Bellas,PA,75.34,light rain,9.2319,-80.0867,ISHQ AirBnb
393,Calabar,NG,75.7,light rain,4.9517,8.322,Nelbee Guest House
395,Toamasina,MG,71.6,few clouds,-18.1667,49.3833,Androranga
396,Sinnamary,GF,76.57,overcast clouds,5.3833,-52.95,Hôtel du fleuve
397,Port-Gentil,GA,77.79,moderate rain,-0.7193,8.7815,Tara-Mé
402,Manaure,CO,78.15,overcast clouds,11.7751,-72.4445,hotel palaima
403,Quatre Cocos,MU,72.09,broken clouds,-20.2078,57.7625,Horisun
406,Weligama,LK,74.5,scattered clouds,5.9667,80.4167,Basecamp
407,Domoni,KM,76.14,clear sky,-12.2569,44.5319,Hotel Djadid
409,Manga,BF,75.22,few clouds,11.6636,-1.0731,Résidence hôtelière la Grace
413,Hukuntsi,BW,75.4,clear sky,-24.0,21.75,Entabeni Hotel
414,Tierralta,CO,75.61,light rain,8.1736,-76.0592,Hotel La Marqueza
417,Abu Dhabi,AE,75.96,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
426,Caravelas,BR,75.15,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
435,Matara,LK,74.25,scattered clouds,5.9485,80.5353,Villa Palm Breeze
440,Upington,ZA,77.38,few clouds,-28.4478,21.2561,Die Eiland Holiday Ressort
442,Quiindy,PY,73.67,clear sky,-25.9667,-57.2667,Hotel Alce's3
446,Villa Maria,AR,71.46,overcast clouds,-32.4075,-63.2402,Gran Hotel Orión
447,Puerto Narino,CO,72.7,overcast clouds,-3.7703,-70.3831,Eco Hotel Euare
448,Opuwo,,74.16,broken clouds,-18.0607,13.84,Ohakane Lodge
450,Santo Domingo,DO,80.28,few clouds,18.5001,-69.9886,Hotel Villa Campo
452,Kinshasa,CD,73.78,overcast clouds,-4.3246,15.3215,Ariana
457,Bani,DO,78.85,clear sky,18.2833,-70.3333,HOTEL GLAMOURS
460,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
462,Puerto Cabezas,NI,76.12,scattered clouds,14.0351,-83.3888,Hotel Caribe
463,Dosso,NE,71.35,clear sky,13.049,3.1937,Galaxy Hotel
468,Rehoboth,,71.17,scattered clouds,-23.3167,17.0833,Suidwes Hotel
473,Biltine,TD,71.19,few clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
475,Hato Mayor,DO,71.1,few clouds,18.7629,-69.256,dormitorio hato mayor
484,Porbandar,IN,71.92,clear sky,21.6422,69.6093,Toran Tourist Bungalow
485,Businga,CD,71.62,overcast clouds,3.3333,20.8833,Hôtel Roho
494,Boueni,YT,75.18,clear sky,-12.9025,45.0761,La Case Robinson
502,Bogo,PH,83.25,overcast clouds,11.0517,124.0055,R&F Function
512,Rosario,AR,88.95,clear sky,-32.9468,-60.6393,Fontana Suites
516,Venado Tuerto,AR,86.77,overcast clouds,-33.7456,-61.9688,Hotel Salta
521,Kissidougou,GN,70.2,broken clouds,9.1848,-10.0999,Mantisse
539,Morondava,MG,76.24,few clouds,-20.2833,44.2833,Hotel Sharon Menabe
